tag,model,split,acc,f1,prec,recall
combined_rand,LinearSVM,random,0.9943911255141469,0.9951194823036044,0.9935032123005847,0.9967410196987254
combined_rand,LogReg,random,0.989945573143878,0.991257225433526,0.9889705882352942,0.9935544611819235
combined_rand,NaiveBayes,random,0.9897793842702232,0.9910966340933767,0.9905947040949211,0.9915990730011588
enron_rand,LinearSVM,random,0.9931902294596595,0.9932964150393471,0.990409764603313,0.9961999415375621
enron_rand,LogReg,random,0.9875647668393782,0.9878190255220418,0.9801438848920864,0.9956153171587255
enron_rand,NaiveBayes,random,0.9918578830495929,0.9919625895075258,0.9918176504967855,0.9921075708857059
enron_time,LinearSVM,time,0.970540340488527,0.9848726719878373,0.9921886965844693,0.9776637488680954
enron_time,LogReg,time,0.9746854182087342,0.9870640744383086,0.9895343546185348,0.9846060971928765
enron_time,NaiveBayes,time,0.8962250185048113,0.9441656710473915,0.9996626749873503,0.8945064895864775
spam_assassin_rand,LinearSVM,random,0.9930974978429681,0.9893899204244031,0.9946666666666667,0.9841688654353562
spam_assassin_rand,LogReg,random,0.9853321829163072,0.9773635153129161,0.9865591397849462,0.9683377308707124
spam_assassin_rand,NaiveBayes,random,0.9594477998274374,0.9338959212376935,1.0,0.8759894459102903
trec2007_rand,LinearSVM,random,0.996595481275147,0.997254530025458,0.9964089775561097,0.998101518784972
trec2007_rand,LogReg,random,0.9953574744661096,0.9962576717728656,0.995016445729094,0.997501998401279
trec2007_rand,NaiveBayes,random,0.9930052615289384,0.9943727901996913,0.99116449915616,0.9976019184652278
