model,tag,split,acc,prec,recall,f1
NaiveBayes,train_spam_assassin_test_enron,cross,0.7283493708364175,0.9085101998763652,0.5155217772581117,0.6577897131774272
LogReg,train_spam_assassin_test_enron,cross,0.5216876387860844,0.5144131569365215,0.9911137094416838,0.6772937016839456
LinearSVM,train_spam_assassin_test_enron,cross,0.6501554404145078,0.6085903174146923,0.8664717918737211,0.7149886632254331
NaiveBayes,train_spam_assassin_test_trec2007,cross,0.7162859795728876,0.9564485729671514,0.5678943266521452,0.712650307825411
LogReg,train_spam_assassin_test_trec2007,cross,0.7667347570411637,0.7292055422501065,0.9917667512639635,0.8404572396274343
LinearSVM,train_spam_assassin_test_trec2007,cross,0.8473785205818632,0.8585363071131139,0.9023200975200336,0.8798838591499893
NaiveBayes,train_enron_test_spam_assassin,cross,0.34173282706247843,0.33175604626708727,0.9994720168954594,0.49815789473684213
LogReg,train_enron_test_spam_assassin,cross,0.35502243700379704,0.3363523352868052,1.0,0.5033887043189369
LinearSVM,train_enron_test_spam_assassin,cross,0.382119433897135,0.3458866544789762,0.9989440337909187,0.5138511678435633
NaiveBayes,train_enron_test_trec2007,cross,0.7449210770659238,0.7153181093377415,0.9771387462280929,0.8259767901484821
LogReg,train_enron_test_trec2007,cross,0.710479727638502,0.683723687294082,0.9911472592474171,0.8092215822877747
LinearSVM,train_enron_test_trec2007,cross,0.7298792943361189,0.6997706551899882,0.9877700285765673,0.8191950413086172
NaiveBayes,train_trec2007_test_spam_assassin,cross,0.9007594062823611,0.7826832404629233,0.9640971488912354,0.8639697184764609
LogReg,train_trec2007_test_spam_assassin,cross,0.87141870900932,0.7663421418636995,0.8727560718057022,0.8160947914095285
LinearSVM,train_trec2007_test_spam_assassin,cross,0.885053503624439,0.7716814159292036,0.9208025343189018,0.8396726047183439
NaiveBayes,train_trec2007_test_enron,cross,0.7824426350851221,0.7064274531375618,0.9760304004676995,0.8196278658746133
LogReg,train_trec2007_test_enron,cross,0.8082901554404145,0.7476931680492124,0.937971353405437,0.8320929388273735
LinearSVM,train_trec2007_test_enron,cross,0.780281273131014,0.7084912159834654,0.9619409529377375,0.8159884946316547
